,volume,DailyTweetAmounts
"Aug 10, 2018",9.075684979299448,8
"Aug 13, 2018",-6.179631525076768,19
"Aug 14, 2018",-0.3545615709804939,12
"Aug 15, 2018",34.94366132931892,23
"Aug 16, 2018",15.760116290862381,16
"Aug 17, 2018",-17.016616534766232,16
"Aug 20, 2018",-12.524634009009006,13
"Aug 21, 2018",-2.7959930804200006,11
"Aug 22, 2018",-17.026736197334653,16
"Aug 23, 2018",6.379688747007184,10
"Aug 24, 2018",-6.067426267173071,16
"Aug 27, 2018",10.073378924774113,10
"Aug 28, 2018",-4.099587320302933,17
"Aug 29, 2018",1.6503522958339234,20
"Aug 30, 2018",11.853368068477854,15
"Aug 31, 2018",13.724837797371483,8
"Sep 10, 2018",-10.371423493868848,23
"Sep 11, 2018",5.468533132410669,15
"Sep 12, 2018",6.3204993232065085,9
"Sep 13, 2018",-7.7695653711496995,22
"Sep 14, 2018",-12.331288343558278,31
"Sep 17, 2018",0.6954163750874764,30
"Sep 18, 2018",5.5466272857577215,14
"Sep 19, 2018",3.4279835390946585,7
"Sep 20, 2018",3.6406318386185577,17
"Sep 21, 2018",152.4646805896806,28
"Sep 24, 2018",-61.246616587086756,14
"Sep 25, 2018",-8.138120463017463,13
"Sep 26, 2018",12.178035965998893,12
"Sep 27, 2018",-13.810829335161069,1
"Sep 28, 2018",16.646785950960894,1
"Oct 10, 2018",55.08210645526614,24
"Oct 11, 2018",19.324509356458247,6
"Oct 12, 2018",-23.976820685434518,14
"Oct 15, 2018",-27.720057357047626,10
"Oct 16, 2018",6.431852986217468,22
"Oct 17, 2018",-2.4820143884892065,20
"Oct 18, 2018",9.996311324234595,18
"Oct 19, 2018",6.94774708859216,10
"Oct 22, 2018",-10.224908069895386,20
"Oct 23, 2018",38.57560170191148,8
"Oct 24, 2018",13.741035217560674,8
"Oct 25, 2018",-11.428283642224011,17
"Oct 26, 2018",14.929378852321062,12
"Oct 29, 2018",-12.162830737567045,22
"Oct 30, 2018",5.902895122225972,8
"Oct 31, 2018",-4.493139027763005,20
"Nov 12, 2018",6.9224842040376044,9
"Nov 13, 2018",-2.0812314433138246,13
"Nov 14, 2018",13.114898878389125,5
"Nov 15, 2018",2.2147616073287635,9
"Nov 16, 2018",-9.74920432845321,9
"Nov 19, 2018",1.0240929865146908,8
"Nov 20, 2018",24.52735345862771,3
"Nov 21, 2018",-35.10719411553642,13
"Nov 23, 2018",-46.11051594843971,5
"Nov 26, 2018",96.4088752084135,11
"Nov 27, 2018",0.6432022985503494,9
"Nov 28, 2018",17.489051094890517,14
"Nov 29, 2018",-15.752705986304393,17
"Nov 30, 2018",58.05774966405559,11
"Dec 10, 2018",-2.1444893654420816,4
"Dec 11, 2018",-11.99158305319613,11
"Dec 12, 2018",0.3994634942850572,3
"Dec 13, 2018",-12.882990154793372,13
"Dec 14, 2018",38.993899389938996,10
"Dec 17, 2018",11.944164628004026,6
"Dec 18, 2018",-12.570167545100052,16
"Dec 19, 2018",23.397946430759436,9
"Dec 20, 2018",14.526859298977255,18
"Dec 21, 2018",56.148777527310564,20
"Dec 24, 2018",-65.7505191502593,13
"Dec 26, 2018",40.41890927955385,1
"Dec 27, 2018",-5.804932114159045,12
"Dec 28, 2018",-17.50992793057803,5
"Dec 31, 2018",-14.168969718581915,16
"Jan 10, 2019",4.1839972887204535,13
"Jan 11, 2019",-22.32736951057223,10
"Jan 14, 2019",5.6767561393489485,19
"Jan 15, 2019",5.047557284911375,19
"Jan 16, 2019",3.8618513564495642,2
"Jan 17, 2019",-4.702308225737218,8
"Jan 18, 2019",29.238712360095633,28
"Jan 22, 2019",-9.247392551679756,13
"Jan 23, 2019",-5.8733160009454055,8
"Jan 24, 2019",0.4927809165097274,10
"Jan 25, 2019",17.715588593559662,3
"Jan 28, 2019",-7.885589959935257,6
"Jan 29, 2019",-4.695106143964057,2
"Jan 30, 2019",20.086438782603434,11
"Jan 31, 2019",27.689829612664532,21
"Feb 11, 2019",-2.622779098344141,13
"Feb 12, 2019",15.064129085643364,9
"Feb 13, 2019",-5.3144439250656275,8
"Feb 14, 2019",18.8660615957164,8
"Feb 15, 2019",4.958308041276638,3
"Feb 19, 2019",-14.583143091955074,10
"Feb 20, 2019",2.5871285011759726,9
"Feb 21, 2019",-11.174795053494512,7
"Feb 22, 2019",9.40518556176919,6
"Feb 25, 2019",0.6577066056620007,20
"Feb 26, 2019",-8.433948863636365,3
"Feb 27, 2019",-0.9579212720573936,12
"Feb 28, 2019",32.555407627848695,7
"Mar 11, 2019",14.524953789279115,5
"Mar 12, 2019",2.563026566383675,24
"Mar 13, 2019",4.3055424416957875,19
"Mar 14, 2019",-8.63582873178238,14
"Mar 15, 2019",103.74186730076951,11
"Mar 18, 2019",-35.23690651796858,15
"Mar 19, 2019",-14.336845793807731,13
"Mar 20, 2019",-5.922571219868523,10
"Mar 21, 2019",4.121373998384992,7
"Mar 22, 2019",15.29008202833706,11
"Mar 25, 2019",-21.57512095417972,17
"Mar 26, 2019",0.6565056743204067,12
"Mar 27, 2019",-11.39589000688276,8
"Mar 28, 2019",-12.269734408522606,16
"Mar 29, 2019",26.752962010372315,10
"Apr 10, 2019",-16.889652632870998,9
"Apr 11, 2019",4.209127159946835,12
"Apr 12, 2019",74.74962207105065,18
"Apr 15, 2019",-32.248384742234585,16
"Apr 16, 2019",20.636820684701934,11
"Apr 17, 2019",21.64450618508964,7
"Apr 18, 2019",-9.497525694708797,22
"Apr 22, 2019",-30.127685143458013,44
"Apr 23, 2019",34.01986498688567,18
"Apr 24, 2019",-9.085950784433251,16
"Apr 25, 2019",4.714683982072909,22
"Apr 26, 2019",6.9288578842718875,11
"Apr 29, 2019",-11.925998298086927,13
"Apr 30, 2019",21.782071926999453,9
"May 10, 2019",-12.00262874895448,34
"May 13, 2019",22.62882748319641,25
