,volume
"Aug 16, 2017",-1.5423495744601778
"Aug 17, 2017",17.405254416427596
"Aug 18, 2017",-0.6301642928334905
"Aug 21, 2017",-10.091565017633542
"Aug 22, 2017",-11.839643011371814
"Aug 23, 2017",-4.151359294636292
"Aug 24, 2017",-2.695796601507605
"Aug 25, 2017",-4.775035014005602
"Aug 28, 2017",0.5377579629544549
"Aug 29, 2017",3.931608302093803
"Aug 30, 2017",6.81798187736431
"Aug 31, 2017",55.15977598418711
"Sep 01, 2017",-31.99394888399374
"Sep 05, 2017",29.893849516078674
"Sep 06, 2017",-4.230260785963225
"Sep 07, 2017",4.721420504454765
"Sep 08, 2017",-13.303975315299121
"Sep 11, 2017",8.075328265376648
"Sep 12, 2017",16.56488793682258
"Sep 13, 2017",-19.938010861813595
"Sep 14, 2017",2.017883449244584
