,DailyTweetAmounts
"Feb 20, 2019",9
"Feb 19, 2019",10
"Feb 18, 2019",17
"Feb 17, 2019",13
"Feb 16, 2019",11
"Feb 15, 2019",3
"Feb 14, 2019",8
"Feb 13, 2019",8
"Feb 12, 2019",9
"Feb 11, 2019",13
"Feb 10, 2019",14
"Feb 9, 2019 ",14
"Feb 8, 2019 ",9
"Feb 7, 2019 ",9
"Feb 6, 2019 ",2
"Feb 5, 2019 ",6
"Feb 4, 2019 ",1
"Feb 3, 2019 ",3
"Feb 2, 2019 ",4
"Feb 1, 2019 ",8
"Jan 31, 2019",21
"Jan 30, 2019",11
"Jan 29, 2019",2
"Jan 28, 2019",6
"Jan 27, 2019",12
"Jan 26, 2019",12
"Jan 25, 2019",3
"Jan 24, 2019",10
"Jan 23, 2019",8
"Jan 22, 2019",13
"Jan 21, 2019",12
"Jan 20, 2019",40
"Jan 19, 2019",7
"Jan 18, 2019",28
"Jan 17, 2019",8
"Jan 16, 2019",2
"Jan 15, 2019",19
"Jan 14, 2019",19
"Jan 13, 2019",14
"Jan 12, 2019",14
"Jan 11, 2019",10
"Jan 10, 2019",13
"Jan 9, 2019 ",13
"Jan 8, 2019 ",6
"Jan 7, 2019 ",7
"Jan 6, 2019 ",7
"Jan 5, 2019 ",16
"Jan 4, 2019 ",6
"Jan 3, 2019 ",8
"Jan 2, 2019 ",5
"Jan 1, 2019 ",17
"Dec 31, 2018",16
"Dec 30, 2018",3
"Dec 29, 2018",9
"Dec 28, 2018",5
"Dec 27, 2018",12
"Dec 26, 2018",1
"Dec 25, 2018",2
"Dec 24, 2018",13
"Dec 23, 2018",14
"Dec 22, 2018",11
"Dec 21, 2018",20
"Dec 20, 2018",18
"Dec 19, 2018",9
"Dec 18, 2018",16
"Dec 17, 2018",6
"Dec 16, 2018",11
"Dec 15, 2018",5
"Dec 14, 2018",10
"Dec 13, 2018",13
"Dec 12, 2018",3
"Dec 11, 2018",11
"Dec 10, 2018",4
"Dec 9, 2018 ",4
"Dec 8, 2018 ",12
"Dec 7, 2018 ",18
"Dec 6, 2018 ",8
"Dec 5, 2018 ",9
"Dec 4, 2018 ",11
"Dec 3, 2018 ",12
"Dec 2, 2018 ",2
"Dec 1, 2018 ",5
"Nov 30, 2018",11
"Nov 29, 2018",17
"Nov 28, 2018",14
"Nov 27, 2018",9
"Nov 26, 2018",11
"Nov 25, 2018",11
"Nov 24, 2018",3
"Nov 23, 2018",5
"Nov 22, 2018",8
"Nov 21, 2018",13
"Nov 20, 2018",3
"Nov 19, 2018",8
"Nov 18, 2018",8
"Nov 17, 2018",7
"Nov 16, 2018",9
"Nov 15, 2018",9
"Nov 14, 2018",5
"Nov 13, 2018",13
"Nov 12, 2018",9
"Nov 11, 2018",7
"Nov 10, 2018",7
"Nov 9, 2018 ",13
"Nov 8, 2018 ",3
"Nov 7, 2018 ",13
"Nov 6, 2018 ",30
"Nov 5, 2018 ",21
"Nov 4, 2018 ",29
"Nov 3, 2018 ",21
"Nov 2, 2018 ",12
